idx,title,authors,source,year,scopusUrl
71,Non-home biased individuals' investment choices: the role of the birthplace of investors,"Lippi A., Barbieri L.","Finance Research Letters, 87, 109026",2026,https://scopus.unalproxy.elogim.com/pages/publications/105023169063?origin=resultslist
72,Examining Diverse Factors Influencing Stock Market Investments of the Investors in South India,"Nidhi S., Kamaladevi M.","International Journal of Special Education, 41(6S)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105042282574?origin=resultslist
73,Understanding the disposition effect: a phenomenological study of investor experiences in Nepal,"Paudel M.R., Thapa B.S., Ghimire S.",Qualitative Research in Financial Markets,2026,https://scopus.unalproxy.elogim.com/pages/publications/105038342324?origin=resultslist
74,Business Leadership and Behavioral Economics: A Quantitative Assessment of Cognitive and Emotional Biases among Investors,"Soussou K., Mahjoubi Y.","Business Ethics and Leadership, 10(2)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105043951350?origin=resultslist
75,Impact of Investor Trust and Risk Perception on Mutual Fund Investment Intentions: The Mediating Role of Financial Literacy,"Lenta F.J., Kumar J.","International Review of Management and Marketing, 16(4)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105039228332?origin=resultslist
76,ESG Investing and its Impact on Risk-Adjusted Portfolio Returns from a Behavioral Finance Perspective Using SEM,"Banu A., Reshma M., Singh E.S., ... Thilaga S., Basha S.M.","International Academic Journal of Science and Engineering, 13(1)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105041933598?origin=resultslist
77,Exploring the Landscape of Behavioral Finance: A Review,"Gupta P., Pooja",Behavioral Finance Strategies for Informed Decision Making,2026,https://scopus.unalproxy.elogim.com/pages/publications/105035821292?origin=resultslist
78,"Behavioral personae, narrow framing, and stochastic dominance in the cryptocurrency market","Arvanitis S., Topaloglou N., Tsomidis G.",Annals of Operations Research,2026,https://scopus.unalproxy.elogim.com/pages/publications/105036206828?origin=resultslist
79,When Confidence and Knowledge Diverge: Investor Calibration and Portfolio Behavior,"Bonaparte Y., Fabozzi F.J.",Journal of Behavioral Finance,2026,https://scopus.unalproxy.elogim.com/pages/publications/105037541854?origin=resultslist
80,Masculinity and Financial Behavior: Understanding Biases and Empowering Resilience,Fouche J.P.,Financial Therapy for Men Navigating the Intersection of Masculinity and Financial Behavior in A Modern World,2026,https://scopus.unalproxy.elogim.com/pages/publications/105044837191?origin=resultslist
81,Analysis of Islamic Unit Trust Funds Investors in Malaysia using the Kohonen self-organizing maps,"Bouzekouk S., Mansor F.",Journal of Islamic Marketing,2026,https://scopus.unalproxy.elogim.com/pages/publications/105032138744?origin=resultslist
82,Investor Behavior and Renewable Energy Project Financing: Behavioral and Institutional Insights from Morocco,"Zoumak K., Angade K.","Lecture Notes in Networks and Systems, 1878 LNNS",2026,https://scopus.unalproxy.elogim.com/pages/publications/105038100560?origin=resultslist
83,Gender and the Brain on Finance: Are Men and Women Wired for Different Risks?,Kashyap S.,Intersecting AI Neurofinance and Behavioral Finance for Decision Making,2026,https://scopus.unalproxy.elogim.com/pages/publications/105040882283?origin=resultslist
84,FROM NEWS TO CHARTS: RETHINKING MARKET PREDICTION WITH MULTIMODAL AI | OD VIJESTI DO GRAFIKONA: PONOVNO PROMIŠLJANJE PREDVIĐANJA TRŽIŠTA S MULTIMODALNOM UMJETNOM INTELIGENCIJOM,"Guo H., Polak P.","Management Journal of Contemporary Management Issues, 31(1)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105045362766?origin=resultslist
85,"Financial Reporting, Investor Psychology and the Role of Data Governance in Equity Markets","Fitri A., Yusuf H., Izzuddin M.A.",Interdisciplinary Approaches to Data Governance AI and Digital Society,2026,https://scopus.unalproxy.elogim.com/pages/publications/105042215155?origin=resultslist
86,Financing green innovation startups: a systematic literature review on early-stage SME funding,"Mukherjee A., Owen R., Scott J.M., Lyon F.","Venture Capital, 28(2-3)",2026,https://scopus.unalproxy.elogim.com/pages/publications/85205600266?origin=resultslist
87,Agent-Based Simulation of a Financial Market with Large Language Models,"Hashimoto R., Takayanagi T., Suzuki M., Izumi K.","Lecture Notes in Computer Science, 16366 LNAI",2026,https://scopus.unalproxy.elogim.com/pages/publications/105025348767?origin=resultslist
88,"Decoding investor behavior in the age of financial AI: integrating cognitive, emotional, and social drivers of adoption and resistance in India","Tiwari C.K., Bhat M.A., Gupta K., ... Alkhwaldi A.F., Pal A.",Information Discovery and Delivery,2026,https://scopus.unalproxy.elogim.com/pages/publications/105040536461?origin=resultslist
89,Crypto Investment Trends in the Digital Age: The Impact of Online Information on Risk Perception,"Raju J.K., Soujanya L.","Oida International Journal of Sustainable Development, 19(3)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105040791771?origin=resultslist
90,COVID-19 pandemic and analysts’ stock recommendation: an empirical analysis of citywide static management in Shanghai,"Jia S., Zhou Y., Liu D., Zhou F.",Review of Quantitative Finance and Accounting,2026,https://scopus.unalproxy.elogim.com/pages/publications/105030152625?origin=resultslist
